TIGR00001	ribosomal protein L35
TIGR02452	TIGR02452 family protein
TIGR02453	TIGR02453 family protein
TIGR02454	cobalt ABC transporter, permease protein CbiQ
TIGR02455	trehalose synthase
TIGR02456	trehalose synthase
TIGR02457	putative maltokinase
TIGR02458	cobalt transporter subunit CbtA (proposed)
TIGR02459	cobalt transporter subunit CbtB (proposed)
TIGR02460	mannosyl-3-phosphoglycerate synthase
TIGR02461	mannosyl-3-phosphoglycerate phosphatase
TIGR02462	pyranose oxidase
TIGR02463	mannosyl-3-phosphoglycerate phosphatase homolog
TIGR02464	conserved hypothetical protein
TIGR02465	chlorocatechol 1,2-dioxygenase
TIGR02466	conserved hypothetical protein
TIGR02467	precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit
TIGR02468	sucrose phosphate synthase
TIGR02469	precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit
TIGR02470	sucrose synthase
TIGR02471	sucrose-phosphate synthase, sucrose phosphatase-like domain
TIGR02472	sucrose-phosphate synthase, putative, glycosyltransferase domain
TIGR02473	flagellar export protein FliJ
TIGR02474	pectate lyase
TIGR02475	cobalamin biosynthesis protein CobW
TIGR02476	5,6-dimethylbenzimidazole synthase
TIGR02477	diphosphate--fructose-6-phosphate 1-phosphotransferase
TIGR02478	6-phosphofructokinase
TIGR02479	RNA polymerase sigma factor, FliA/WhiG family
TIGR02480	flagellar motor switch protein FliN
TIGR02481	hemerythrin-like metal-binding domain
TIGR02482	6-phosphofructokinase
TIGR02483	phosphofructokinase
TIGR02484	CitB domain protein
TIGR02485	precorrin 3B synthase CobZ
TIGR02486	reductive dehalogenase
TIGR02487	anaerobic ribonucleoside-triphosphate reductase
TIGR02488	flagellar basal-body rod protein FlgG
TIGR02489	flagellar hook protein FlgE
TIGR02490	flagellar basal-body rod protein FlgF
TIGR02491	anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02492	flagellar hook-associated protein FlgK
TIGR02493	pyruvate formate-lyase 1-activating enzyme
TIGR02494	glycyl-radical enzyme activating protein
TIGR02495	anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02497	type III secretion apparatus protein, YscI/HrpB, C-terminal domain
TIGR02498	type III secretion system protein, SsaH family
TIGR02499	type III secretion apparatus protein, HrpE/YscL family
TIGR02500	type III secretion apparatus protein, YscD/HrpQ family
TIGR02501	type III secretion system protein, YseE family
TIGR02502	type III secretion protein, YscX family
TIGR02503	type III secretion chaperone SycN
TIGR02504	ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent
TIGR02505	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent
TIGR02506	ribonucleoside-diphosphate reductase, alpha subunit
TIGR02507	tetrahydromethanopterin S-methyltransferase, F subunit
TIGR02508	type III secretion protein, YscG family
TIGR02509	type III secretion effector, YopR family
TIGR02510	ribonucleoside-diphosphate reductase, alpha chain
TIGR02511	type III secretion effector delivery regulator, TyeA family
TIGR02512	[FeFe] hydrogenase, group A
TIGR02513	type III secretion system chaperone, YscB family
TIGR02514	type III secretion system needle length determinant
TIGR02515	type IV pilus secretin PilQ
TIGR02516	type III secretion outer membrane pore, YscC/HrcC family
TIGR02517	type II secretion system protein D
TIGR02518	acetaldehyde dehydrogenase (acetylating)
TIGR02519	pilus (MSHA type) biogenesis protein MshL
TIGR02520	type IVB pilus formation outer membrane protein, R64 PilN family
TIGR02521	type IV pilus biogenesis/stability protein PilW
TIGR02522	pilus (Caulobacter type) biogenesis lipoprotein CpaD
TIGR02523	type IV pilus modification protein PilV
TIGR02524	Dot/Icm secretion system ATPase DotB
TIGR02525	plasmid transfer ATPase TraJ
TIGR02526	PduT-like ethanolamine utilization protein
TIGR02527	Dot/Icm secretion system protein IcmQ
TIGR02528	ethanolamine utilization protein, EutP
TIGR02529	ethanolamine utilization protein EutJ family protein
TIGR02530	flagellar operon protein
TIGR02531	TrpR homolog YerC/YecD
TIGR02532	prepilin-type N-terminal cleavage/methylation domain
TIGR02533	type II secretion system protein E
TIGR02534	muconate and chloromuconate cycloisomerases
TIGR02535	proposed homoserine kinase
TIGR02536	ethanolamine utilization protein
TIGR02537	archaeal flagellin N-terminal-like domain
TIGR02538	type IV-A pilus assembly ATPase PilB
TIGR02539	O-phospho-L-seryl-tRNA:Cys-tRNA synthase
TIGR02540	putative glutathione peroxidase Gpx7
TIGR02541	flagellar rod assembly protein/muramidase FlgJ
TIGR02542	TANFOR domain
TIGR02543	repeat, TIGR02543 family
TIGR02544	type III secretion apparatus lipoprotein, YscJ/HrcJ family
TIGR02546	type III secretion apparatus H+-transporting two-sector ATPase
TIGR02547	CRISPR type I-E/ECOLI-associated protein CasA/Cse1
TIGR02548	CRISPR type I-E/ECOLI-associated protein CasB/Cse2
TIGR02549	CRISPR-associated DxTHG motif protein
TIGR02550	flagellar hook-associated protein 3
TIGR02551	type III secretion apparatus protein, YscQ/HrcQ family
TIGR02552	type III secretion low calcium response chaperone LcrH/SycD
TIGR02553	type III effector protein IpaD/SipD/SspD
TIGR02554	type III secretion apparatus protein PrgH/EprH
TIGR02555	type III secretion apparatus protein OrgA/MxiK
TIGR02556	CRISPR-associated protein, TM1802 family
TIGR02557	type III secretion protein HpaP
TIGR02558	type III secretion protein HrpB2
TIGR02559	type III secretion protein HrpB7
TIGR02560	type III secretion protein HrpB4
TIGR02561	type III secretion protein HrpB1/HrpK
TIGR02562	CRISPR-associated helicase Cas3, subtype I-F/YPEST
TIGR02563	CRISPR-associated endoribonuclease Cas6/Csy4, subtype I-F/YPEST
TIGR02564	CRISPR type I-F/YPEST-associated protein Csy1
TIGR02565	CRISPR type I-F/YPEST-associated protein Csy2
TIGR02566	CRISPR type I-F/YPEST-associated protein Csy3
TIGR02567	type III secretion system chaperone YscW
TIGR02568	type III secretion regulator YopN/LcrE/InvE/MxiC
TIGR02569	TIGR02569 family protein
TIGR02570	CRISPR-associated protein GSU0053/csb1, Dpsyc system
TIGR02571	ComE operon protein 2
TIGR02572	type III secretion system regulator LcrR
TIGR02573	type III secretion protein LcrG
TIGR02574	putative addiction module component, TIGR02574 family
TIGR02577	CRISPR-associated protein Cas10/Cmr2, subtype III-B
TIGR02578	CRISPR-associated protein Cas10/Csm1, subtype III-A/MTUBE
TIGR02579	CRISPR-associated protein, Csx3 family
TIGR02580	CRISPR type III-B/RAMP module RAMP protein Cmr4
TIGR02581	CRISPR-associated RAMP protein, SSO1426 family
TIGR02582	CRISPR type III-A/MTUBE-associated RAMP protein Csm3
TIGR02583	CRISPR-associated protein Cas7/Csa2, subtype I-A/APERN
TIGR02584	CRISPR-associated protein, NE0113 family
TIGR02585	CRISPR-associated protein Cas7/Cst2/DevR, subtype I-B/TNEAP
TIGR02586	CRISPR-associated protein Cas5/DevS, subtype MYXAN
TIGR02587	putative integral membrane protein TIGR02587
TIGR02588	TIGR02588 family protein
TIGR02589	CRISPR-associated protein Cas7/Csd2, subtype I-C/DVULG
TIGR02590	CRISPR-associated protein Cas7/Csh2, subtype I-B/HMARI
TIGR02591	CRISPR-associated protein Cas8b/Csh1, subtype I-B/HMARI
TIGR02592	CRISPR-associated protein Cas5, subtype I-B/HMARI
TIGR02593	CRISPR-associated protein Cas5
TIGR02594	TIGR02594 family protein
TIGR02595	PEP-CTERM protein-sorting domain
TIGR02596	Verru_Chthon cassette protein D
TIGR02597	TIGR02597 family protein
TIGR02598	Verru_Chthon cassette protein B
TIGR02599	Verru_Chthon cassette protein C
TIGR02600	Verru_Chthon cassette protein A
TIGR02601	autotransporter-associated beta strand repeat
TIGR02602	exosortase
TIGR02603	putative heme-binding domain
TIGR02604	putative membrane-bound dehydrogenase domain
TIGR02605	putative regulatory protein, FmdB family
TIGR02606	putative addiction module antidote protein, CC2985 family
TIGR02607	addiction module antidote protein, HigA family
TIGR02608	delta-60 repeat domain
TIGR02609	putative addiction module antidote
TIGR02610	putative polyhydroxyalkanoic acid system protein
TIGR02611	TIGR02611 family protein
TIGR02612	mobile mystery protein A
TIGR02613	mobile mystery protein B
TIGR02614	cell division protein FtsW
TIGR02615	stage V sporulation protein E
TIGR02616	tryptophanase leader peptide
TIGR02617	tryptophanase
TIGR02618	tyrosine phenol-lyase
TIGR02619	putative CRISPR-associated protein, APE2256 family
TIGR02620	putative CRISPR-associated protein, VVA1548 family
TIGR02621	CRISPR-associated helicase Cas3, subtype Dpsyc
TIGR02622	CDP-glucose 4,6-dehydratase
TIGR02623	glucose-1-phosphate cytidylyltransferase
TIGR02624	rhamnulose-1-phosphate aldolase
TIGR02625	L-rhamnose mutarotase
TIGR02627	rhamnulokinase
TIGR02628	L-fuculokinase
TIGR02629	L-rhamnose catabolism isomerase
TIGR02630	xylose isomerase
TIGR02631	xylose isomerase
TIGR02632	rhamnulose-1-phosphate aldolase/alcohol dehydrogenase
TIGR02633	D-xylose ABC transporter, ATP-binding protein
TIGR02634	D-xylose ABC transporter, D-xylose-binding protein
TIGR02635	L-rhamnose isomerase
TIGR02636	galactose mutarotase
TIGR02637	rhamnose ABC transporter, rhamnose-binding protein
TIGR02638	lactaldehyde reductase
TIGR02639	ATP-dependent Clp protease ATP-binding subunit ClpA
TIGR02640	gas vesicle protein GvpN
TIGR02641	gas vesicle protein GvpC repeat
TIGR02642	uncharacterized phage protein
TIGR02643	thymidine phosphorylase
TIGR02644	pyrimidine-nucleoside phosphorylase
TIGR02645	putative thymidine phosphorylase
TIGR02646	TIGR02646 family protein
TIGR02647	TIGR02647 family protein
TIGR02648	DNA replication terminus site-binding protein
TIGR02649	ribonuclease BN
TIGR02650	ribonuclease Z, Thermotoga type
TIGR02651	ribonuclease Z
TIGR02652	TIGR02652 family protein
TIGR02653	conserved hypothetical protein
TIGR02654	circadian clock protein KaiB
TIGR02655	circadian clock protein KaiC
TIGR02656	plastocyanin
TIGR02657	amicyanin
TIGR02658	methylamine dehydrogenase (amicyanin) heavy chain
TIGR02659	methylamine dehydrogenase (amicyanin) light chain
TIGR02660	homocitrate synthase
TIGR02661	methylamine dehydrogenase accessory protein MauD
TIGR02662	ADP-ribosyl-[dinitrogen reductase] hydrolase
TIGR02663	nitrogen fixation protein NifX
TIGR02664	conserved hypothetical protein
TIGR02665	molybdenum cofactor guanylyltransferase
TIGR02666	molybdenum cofactor biosynthesis protein A
TIGR02667	molybdenum cofactor biosynthesis protein B
TIGR02668	probable molybdenum cofactor biosynthesis protein A
TIGR02669	SpoIID/LytB domain
TIGR02670	CRISPR-associated protein Cas8a1/Csx8, subtype I
TIGR02671	CRISPR-associated protein Cas8a2/Csx9, subtype I-A/APERN
TIGR02672	CRISPR type III-A/MTUBE-associated protein Csm6
TIGR02673	cell division ATP-binding protein FtsE
TIGR02674	CRISPR-associated RAMP protein, Csx10 family
TIGR02675	tape measure domain
TIGR02677	TIGR02677 family protein
TIGR02678	TIGR02678 family protein
TIGR02679	TIGR02679 family protein
TIGR02680	TIGR02680 family protein
TIGR02681	phage regulatory protein, Rha family
TIGR02682	CRISPR-associated protein, Csx11 family
TIGR02683	putative addiction module killer protein
TIGR02684	probable addiction module antidote protein
TIGR02685	pteridine reductase
TIGR02686	conjugative relaxase domain
TIGR02687	TIGR02687 family protein
TIGR02688	TIGR02688 family protein
TIGR02689	arsenate reductase, glutathione/glutaredoxin type
TIGR02690	arsenical resistance protein ArsH
TIGR02691	arsenate reductase (thioredoxin)
TIGR02692	CCA tRNA nucleotidyltransferase
TIGR02693	arsenite oxidase, large subunit
TIGR02694	arsenite oxidase, small subunit
TIGR02695	azurin
TIGR02696	guanosine pentaphosphate synthetase I/polyribonucleotide nucleotidyltransferase
TIGR02697	Wolbachia palindromic element domain
TIGR02698	copper transport repressor, CopY/TcrY family
TIGR02699	archaeoflavoprotein AfpA
TIGR02700	archaeoflavoprotein, MJ0208 family
TIGR02701	carboxysome shell carbonic anhydrase
TIGR02702	iron-sulfur cluster biosynthesis transcriptional regulator SufR
TIGR02703	carboxysome peptide A
TIGR02704	carboxysome peptide B
TIGR02705	nucleoside triphosphatase YtkD
TIGR02706	phosphate butyryltransferase
TIGR02707	butyrate kinase
TIGR02708	L-lactate oxidase
TIGR02709	branched-chain phosphotransacylase
TIGR02710	CRISPR-associated protein, TIGR02710 family
TIGR02711	cation/acetate symporter ActP
TIGR02712	urea carboxylase
TIGR02713	allophanate hydrolase
TIGR02714	ring-opening amidohydrolases
TIGR02715	amidohydrolase, AtzE family
TIGR02716	C-20 methyltransferase BchU
TIGR02717	acetyl coenzyme A synthetase (ADP forming), alpha domain
TIGR02718	siderophore transporter, RhtX/FptX family
TIGR02719	poly-beta-hydroxybutyrate-responsive repressor
TIGR02720	pyruvate oxidase
TIGR02721	thiamine kinase
TIGR02722	uncharacterized lipoprotein
TIGR02723	phenylphosphate carboxylase, alpha subunit
TIGR02724	phenylphosphate carboxylase, beta subunit
TIGR02725	phenylphosphate carboxylase, gamma subunit
TIGR02726	phenylphosphate carboxylase, delta subunit
TIGR02727	5-formyltetrahydrofolate cyclo-ligase
TIGR02728	spore coat protein GerQ
TIGR02729	Obg family GTPase CgtA
TIGR02730	carotene isomerase
TIGR02731	phytoene desaturase
TIGR02732	9,9'-di-cis-zeta-carotene desaturase
TIGR02733	C-3',4' desaturase CrtD
TIGR02734	phytoene desaturase
TIGR02735	phosphoribosylaminoimidazole-succinocarboxamide synthase
TIGR02736	cytochrome c oxidase, cbb3-type, CcoQ subunit
TIGR02737	cytochrome c oxidase assembly factor CtaG
TIGR02738	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB
TIGR02739	type-F conjugative transfer system pilin assembly protein TraF
TIGR02740	TraF-like protein
TIGR02741	type-F conjugative transfer system pilin chaperone TraQ
TIGR02742	type-F conjugative transfer system pilin assembly protein TrbC
TIGR02743	type-F conjugative transfer system protein TraW
TIGR02744	type-F conjugative transfer system protein TrbI
TIGR02745	cytochrome c oxidase accessory protein CcoG
TIGR02746	type-IV secretion system protein TraC
TIGR02747	type IV conjugative transfer system protein TraV
TIGR02748	heptaprenyl diphosphate synthase component II
TIGR02749	solanesyl diphosphate synthase
TIGR02750	type-F conjugative transfer system mating-pair stabilization protein TraN
TIGR02751	phosphoenolpyruvate carboxylase
TIGR02752	demethylmenaquinone methyltransferase
TIGR02753	superoxide dismutase, Ni
TIGR02754	nickel-type superoxide dismutase maturation protease
TIGR02755	type-F conjugative transfer system pilin acetylase TraX
TIGR02756	type-F conjugative transfer system secretin TraK
TIGR02757	TIGR02757 family protein
TIGR02758	type IV conjugative transfer system pilin TraA
TIGR02759	type IV conjugative transfer system coupling protein TraD
TIGR02760	conjugative transfer relaxase protein TraI
TIGR02761	type IV conjugative transfer system protein TraE
TIGR02762	type IV conjugative transfer system protein TraL
TIGR02763	scaffolding protein
TIGR02764	polysaccharide deacetylase family sporulation protein PdaB
TIGR02765	cryptochrome, DASH family
TIGR02766	cryptochrome, plant family
TIGR02767	Ti-type conjugative transfer system protein TraG
TIGR02768	Ti-type conjugative transfer relaxase TraA
TIGR02769	nickel import ATP-binding protein NikE
TIGR02770	nickel import ATP-binding protein NikD
TIGR02771	conjugative transfer signal peptidase TraF
TIGR02772	Ku protein
TIGR02773	helicase-exonuclease AddAB, AddB subunit
TIGR02774	ATP-dependent nuclease subunit B
TIGR02775	P-type conjugative transfer protein TrbG
TIGR02776	DNA ligase D
TIGR02777	DNA ligase D, 3'-phosphoesterase domain
TIGR02778	DNA ligase D, polymerase domain
TIGR02779	DNA ligase D, ligase domain
TIGR02780	P-type conjugative transfer protein TrbJ
TIGR02781	P-type conjugative transfer protein VirB9
TIGR02782	P-type conjugative transfer ATPase TrbB
TIGR02783	P-type conjugative transfer protein TrbL
TIGR02784	double-strand break repair helicase AddA
TIGR02785	helicase-exonuclease AddAB, AddA subunit
TIGR02786	double-strand break repair protein AddB
TIGR02787	GTP-sensing transcriptional pleiotropic repressor CodY
TIGR02788	P-type DNA transfer ATPase VirB11
TIGR02789	nickel ABC transporter, permease subunit NikB
TIGR02790	nickel ABC transporter, permease subunit NikC
TIGR02791	P-type DNA transfer protein VirB5
TIGR02792	protocatechuate 4,5-dioxygenase, alpha subunit
TIGR02793	nickel-responsive transcriptional regulator NikR
TIGR02794	protein TolA
TIGR02795	tol-pal system protein YbgF
TIGR02796	protein TolQ
TIGR02797	tonB-system energizer ExbB
TIGR02798	4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase
TIGR02799	tol-pal system-associated acyl-CoA thioesterase
TIGR02800	Tol-Pal system beta propeller repeat protein TolB
TIGR02801	protein TolR
TIGR02802	peptidoglycan-associated lipoprotein
TIGR02803	TonB system transport protein ExbD
TIGR02804	TonB system transport protein ExbD
TIGR02805	tonB-system energizer ExbB
TIGR02806	clostripain
TIGR02807	CRISPR-associated protein Cas6, subtype MYXAN
TIGR02808	TIGR02808 family protein
TIGR02809	phasin family protein
TIGR02810	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit
TIGR02811	formate dehydrogenase region TAT target
TIGR02812	fatty acid metabolism transcriptional regulator FadR
TIGR02813	polyketide-type polyunsaturated fatty acid synthase PfaA
TIGR02814	PfaD family protein
TIGR02815	putative sugar isomerase, AgaS family
TIGR02816	PfaB family protein
TIGR02817	zinc-binding alcohol dehydrogenase family protein
TIGR02818	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
TIGR02819	formaldehyde dehydrogenase, glutathione-independent
TIGR02820	S-(hydroxymethyl)glutathione synthase
TIGR02821	S-formylglutathione hydrolase
TIGR02822	zinc-binding alcohol dehydrogenase family protein
TIGR02823	putative quinone oxidoreductase, YhdH/YhfP family
TIGR02824	putative NAD(P)H quinone oxidoreductase, PIG3 family
TIGR02825	leukotriene B4 12-hydroxydehydrogenase/15-oxo-prostaglandin 13-reductase
TIGR02826	anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02827	anaerobic ribonucleoside-triphosphate reductase
TIGR02828	putative membrane fusion protein
TIGR02829	stage III sporulation protein AE
TIGR02830	stage III sporulation protein AG
TIGR02831	stage II sporulation protein M
TIGR02832	sporulation protein YunB
TIGR02833	stage III sporulation protein AB
TIGR02834	putative sporulation protein YtxC
TIGR02835	RNA polymerase sigma-E factor
TIGR02836	stage IV sporulation protein A
TIGR02837	stage II sporulation protein R
TIGR02838	stage V sporulation protein AC
TIGR02839	stage V sporulation protein AE
TIGR02840	putative sporulation protein YtaF
TIGR02841	putative sporulation protein YyaC
TIGR02842	cytochrome o ubiquinol oxidase, subunit III
TIGR02843	cytochrome o ubiquinol oxidase, subunit I
TIGR02844	sporulation transcriptional regulator SpoIIID
TIGR02845	stage V sporulation protein AD
TIGR02846	RNA polymerase sigma-K factor
TIGR02847	cytochrome o ubiquinol oxidase subunit IV
TIGR02848	stage III sporulation protein AC
TIGR02849	stage III sporulation protein AD
TIGR02850	RNA polymerase sigma-G factor
TIGR02851	stage V sporulation protein T
TIGR02852	dipicolinic acid synthetase, B subunit
TIGR02853	dipicolinic acid synthetase, A subunit
TIGR02854	sigma-E processing peptidase SpoIIGA
TIGR02855	sporulation peptidase YabG
TIGR02856	sporulation protein YqfC
TIGR02857	thiol reductant ABC exporter, CydD subunit
TIGR02858	stage III sporulation protein AA
TIGR02859	RNA polymerase sigma-H factor
TIGR02860	stage IV sporulation protein B
TIGR02861	small acid-soluble spore protein, H-type
TIGR02862	pro-sigmaK processing inhibitor BofA
TIGR02863	small, acid-soluble spore protein, SspJ family
TIGR02864	small, acid-soluble spore protein O
TIGR02865	stage II sporulation protein E
TIGR02866	cytochrome c oxidase, subunit II
TIGR02867	stage II sporulation protein P
TIGR02868	thiol reductant ABC exporter, CydC subunit
TIGR02869	spore cortex-lytic enzyme
TIGR02870	stage II sporulation protein D
TIGR02871	sporulation integral membrane protein YlbJ
TIGR02872	sporulation integral membrane protein YtvI
TIGR02873	probable sporulation protein, polysaccharide deacetylase family
TIGR02874	sporulation protein YtfJ
TIGR02875	sporulation transcription factor Spo0A
TIGR02876	sporulation protein YqfD
TIGR02877	sporulation protein YhbH
TIGR02878	sporulation protein YpjB
TIGR02880	CbbX protein
TIGR02881	stage V sporulation protein K
TIGR02882	cytochrome aa3 quinol oxidase, subunit I
TIGR02883	N-acetylmuramoyl-L-alanine amidase CwlD
TIGR02884	delta-lactam-biosynthetic de-N-acetylase
TIGR02885	RNA polymerase sigma-F factor
TIGR02886	anti-sigma F factor antagonist
TIGR02887	germination protein, Ger(x)C family
TIGR02888	sporulation protein, YlmC/YmxH family
TIGR02889	germination protein YpeB
TIGR02890	regulatory protein, yteA family
TIGR02891	cytochrome c oxidase, subunit I
TIGR02892	sporulation protein YabP
TIGR02893	spore cortex biosynthesis protein YabQ
TIGR02894	transcription factor, RsfA family
TIGR02895	RNA polymerase sigma-I factor
TIGR02896	stage III sporulation protein AF
TIGR02897	cytochrome aa3 quinol oxidase, subunit III
TIGR02898	sporulation lipoprotein, YhcN/YlaJ family
TIGR02899	spore coat assembly protein SafA
TIGR02900	stage V sporulation protein B
TIGR02901	cytochrome aa3 quinol oxidase, subunit IV
TIGR02902	ATP-dependent protease LonB
TIGR02903	ATP-dependent protease, Lon family
TIGR02904	spore coat protein YsxE
TIGR02905	spore coat protein YutH
TIGR02906	spore coat protein, CotS family
TIGR02907	stage VI sporulation protein D
TIGR02908	cytochrome c oxidase, subunit IVB
TIGR02909	uncharacterized protein, YkwD family
TIGR02910	sulfite reductase, subunit A
TIGR02911	sulfite reductase, subunit B
TIGR02912	sulfite reductase, subunit C
TIGR02913	probable extracellular repeat, HAF family
TIGR02914	EpsI family protein
TIGR02915	PEP-CTERM-box response regulator transcription factor
TIGR02916	putative PEP-CTERM system histidine kinase
TIGR02917	putative PEP-CTERM system TPR-repeat lipoprotein
TIGR02918	accessory Sec system glycosylation protein GtfA
TIGR02919	accessory Sec system glycosyltransferase GtfB
TIGR02920	accessory Sec system translocase SecY2
TIGR02921	PEP-CTERM family integral membrane protein
TIGR02922	TIGR02922 family protein
TIGR02923	ATP synthase A1, C subunit
TIGR02924	isocitrate dehydrogenase
TIGR02925	peptidyl-prolyl cis-trans isomerase, EpsD family
TIGR02926	ATP synthase archaeal, H subunit
TIGR02927	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase
TIGR02928	orc1/cdc6 family replication initiation protein
TIGR02929	Fe-only nitrogenase, delta subunit
TIGR02930	V-containing nitrogenase, delta subunit
TIGR02931	Fe-only nitrogenase, beta subunit
TIGR02932	V-containing nitrogenase, beta subunit
TIGR02933	nitrogen fixation protein NifM
TIGR02934	probable nitrogen fixation protein FixT
TIGR02935	probable nitrogen fixation protein
TIGR02936	ferredoxin III, nif-specific
TIGR02937	RNA polymerase sigma factor, sigma-70 family
TIGR02938	nitrogen fixation negative regulator NifL
TIGR02939	RNA polymerase sigma factor RpoE
TIGR02940	Fe-only nitrogenase accessory protein AnfO
TIGR02941	RNA polymerase sigma-B factor
TIGR02943	RNA polymerase sigma-70 factor, TIGR02943 family
TIGR02944	FeS assembly SUF system regulator
TIGR02945	FeS assembly SUF system protein
TIGR02946	acyltransferase, WS/DGAT/MGAT
TIGR02947	RNA polymerase sigma-70 factor, TIGR02947 family
TIGR02948	RNA polymerase sigma-W factor
TIGR02949	anti-sigma factor, TIGR02949 family
TIGR02950	RNA polymerase sigma factor, SigM family
TIGR02951	dimethylsulfoxide reductase, chain B
TIGR02952	RNA polymerase sigma-70 factor, TIGR02952 family
TIGR02953	pentapeptide MXKDX repeat protein
TIGR02954	RNA polymerase sigma-70 factor, TIGR02954 family
TIGR02955	TMAO reductase system periplasmic protein TorT
TIGR02956	TMAO reductase sytem sensor TorS
TIGR02957	RNA polymerase sigma-70 factor, TIGR02957 family
TIGR02959	RNA polymerase sigma factor, SigZ family
TIGR02960	RNA polymerase sigma-70 factor, TIGR02960 family
TIGR02961	allantoicase
TIGR02962	hydroxyisourate hydrolase
TIGR02963	xanthine dehydrogenase, small subunit
TIGR02964	xanthine dehydrogenase accessory protein XdhC
TIGR02965	xanthine dehydrogenase, molybdopterin binding subunit
TIGR02966	phosphate regulon sensor kinase PhoR
TIGR02967	guanine deaminase
TIGR02968	succinate dehydrogenase, hydrophobic membrane anchor protein
TIGR02969	aldehyde oxidase
TIGR02970	succinate dehydrogenase, cytochrome b556 subunit
TIGR02971	ABC exporter membrane fusion protein, DevB family
TIGR02972	trimethylamine N-oxide reductase system, TorE protein
TIGR02973	periplasmic nitrate reductase, NapE protein
TIGR02974	psp operon transcriptional activator
TIGR02975	phage shock protein G
TIGR02976	phage shock protein B
TIGR02977	phage shock protein A
TIGR02978	phage shock protein C
TIGR02979	phage shock protein PspD
TIGR02980	RNA polymerase sigma-70 factor, sigma-B/F/G subfamily
TIGR02981	phage shock operon rhodanese PspE
TIGR02982	ABC exporter ATP-binding subunit, DevA family
TIGR02983	RNA polymerase sigma-70 factor, sigma-E family
TIGR02984	RNA polymerase sigma-70 factor, Planctomycetaceae-specific subfamily 1
TIGR02985	RNA polymerase sigma-70 factor, Bacteroides expansion family 1
TIGR02986	type II restriction endonuclease, Alw26I/Eco31I/Esp3I family
TIGR02987	type II restriction m6 adenine DNA methyltransferase, Alw26I/Eco31I/Esp3I family
TIGR02988	S4 domain protein YaaA
TIGR02989	RNA polymerase sigma-70 factor, Rhodopirellula/Verrucomicrobium family
TIGR02990	ectoine utilization protein EutA
TIGR02991	ectoine utilization protein EutB
TIGR02992	ectoine utilization protein EutC
TIGR02993	ectoine utilization protein EutD
TIGR02994	ectoine utilization protein EutE
TIGR02995	ectoine/hydroxyectoine ABC transporter solute-binding protein EhuB
TIGR02996	repeat-companion domain TIGR02996
TIGR02997	RNA polymerase sigma factor, cyanobacterial RpoD-like family
TIGR02998	regulator of ribonuclease activity A
TIGR02999	RNA polymerase sigma factor, TIGR02999 family
TIGR03000	Planctomycetes uncharacterized domain TIGR03000
TIGR03001	RNA polymerase sigma-70 factor, Myxococcales family 1
TIGR03002	lipopolysaccharide transport periplasmic protein LptA
TIGR03003	ectoine/hydroxyectoine ABC transporter, permease protein EhuD
TIGR03004	ectoine/hydroxyectoine ABC transporter, permease protein EhuC
TIGR03005	ectoine/hydroxyectoine ABC transporter, ATP-binding protein EhuA
TIGR03006	polysaccharide deacetylase family protein, PEP-CTERM locus subfamily
TIGR03007	polysaccharide chain length determinant protein, PEP-CTERM locus subfamily
TIGR03008	CAAX prenyl protease-related protein
TIGR03009	Planctomycetes uncharacterized domain TIGR03009
TIGR03010	sulfur relay protein TusC/DsrF
TIGR03011	sulfur relay protein TusB/DsrH
TIGR03012	sulfur relay protein TusD/DsrE
TIGR03013	sugar transferase, PEP-CTERM system associated
TIGR03014	exopolysaccharide biosynthesis operon protein EpsL
TIGR03015	putative secretion ATPase, PEP-CTERM locus subfamily
TIGR03016	uncharacterized protein, PEP-CTERM system associated
TIGR03017	chain length determinant protein EpsF
TIGR03018	exopolysaccharide/PEP-CTERM locus tyrosine autokinase
TIGR03019	FemAB-related protein, PEP-CTERM system-associated
TIGR03020	transcriptional regulator EpsA
TIGR03021	type IV pilus biogenesis protein PilP
TIGR03022	undecaprenyl-phosphate galactose phosphotransferase WbaP
TIGR03023	undecaprenyl-phosphate glucose phosphotransferase
TIGR03024	PEF-CTERM protein sorting domain
TIGR03025	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
TIGR03026	nucleotide sugar dehydrogenase
TIGR03027	putative polysaccharide export protein, PEP-CTERM sytem-associated
TIGR03028	polysaccharide export protein EpsE
TIGR03029	chain length determinant protein tyrosine kinase EpsG
TIGR03030	cellulose synthase catalytic subunit (UDP-forming)
TIGR03031	CRISPR-associated protein Cas9/Csx12, subtype II-B/NMENI
TIGR03032	TIGR03032 family protein
TIGR03033	putative phage-type endonuclease
TIGR03034	conserved hypothetical protein
