UDPNACETYLGLUCOSAMACYLTRANS-ENZRXN	UDP-N-acetylglucosamine acyltransferase
ENZRXN-15803	<i>N<sup>1</sup></i>-acetylspermine oxidase
ALTRO-OXIDOREDUCT-ENZRXN	altronate oxidoreductase
ENZRXN-20766	N.N-dihydroxy-L-tyrosine decarboxylase
ENZRXN-17188	inositol-1,3,4,6-tetrakis phosphate 5-kinase
ENZRXN-20580	ent-kaurenoic acid NADPH:oxygen oxidoreductase
ENZRXN-9183	fructokinase
ENZRXN-13077	lysine decarboxylase
ENZRXN3O-385	inositol phosphorylceramide mannosyltransferase
ENZRXN-18991	crotonaldehyde redutase
ENZRXN-15469	caffeoyl-CoA 3-O methyltransferase
ENZRXN-11944	maleate <i>cis-trans</i> isomerase
ENZRXN-19868	trimethylamine-oxide aldolase
ENZRXN-11978	gibberellin A9,2-oxoglutarate:oxygen oxidoreductase
ENZRXN8J2-545	methylmalonate-semialdehyde dehydrogenase
ENZRXN-21067	8-amino-7-oxononanoate synthase
ENZRXN-13969	hypoxanthine hydroxylase
DIHYDROPTERIREDUCT-ENZRXN	dihydropteridine reductase
ENZRXN66-2578	(R)-3-hydroxypalmitoyl-ACP dehydratase
ENZRXN0-741	3-keto-L-gulonate 6-phosphate decarboxylase
ENZRXN-20871	aspartate transaminase
ENZRXN-19502	pyruvate decarboxylase
ENZRXN-13192	1-18:2-2-16:2-monogalactosyldiacylglycerol desaturase
ENZRXN-13226	1-18:2-2-18:2-sn-glycerol-3-phosphocholine desaturase
ENZRXN-8987	CDP-glycerol : glycerophosphate glycerophosphotransferase
ENZRXN-8504	nicotinamide mononucleotide adenylyltransferase
ASPARTATEKINIII-ENZRXN	aspartate kinase
ENZRXN-121	acetate-acetoacetate CoA-transferase
ENZRXN66-1616	inositol-(1,4,5)-trisphosphate 5-phosphatase
ENZRXN-12562	cannabichromenate synthase
METHYLENETHFREDUCT-ENZRXN	5,10-methylenetetrahydrofolate reductase
ENZRXN0-7675	maltopentaose glucosidase
ENZRXN-7429	(mannosyl)<sub>6</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol:dolichyl &beta;-D-mannosyl phosphate mannosyl transferase
ENZRXN66-2297	myo-inositol-3-phosphate monophosphatase
ENZRXN-14459	GDP-&alpha;-D-mannose 4,6-dehydratase
ENZRXN-21581	isoamylase
ENZRXN0-7626	2,5-diketo-D-gluconate reductase
ENZRXN-13355	sucrose-6-phosphate hydrolase
ENZRXN-12007	formyltetrahydrofolate synthetase
ENZRXN-11007	gallate dioxygenase
RIBULOKIN-ENZRXN	L-ribulokinase
ENZRXN-16929	tetrahydroprotoberberine synthase
ENZRXN-12531	p-coumaroyltriacetic acid lactone synthase
ENZRXN-16798	octaketide synthase
ENZRXN-17852	glucose-6-phosphate 1-epimerase
ENZRXN-14237	isopenicillin N epimerase
ENZRXN-18501	desmethyl dehydrophos <i>O</i>-methyltransferase
UDPKIN-ENZRXN	UDP kinase
PROTOPORGENOXI-ENZRXN	protoporphyrinogen oxidase
ENZRXN-13254	6-deoxotyphasterol C-23 hydroxylase
ENZRXN-17995	5-hydroxy-pseudobaptigenin synthase
ENZRXN-169	fructose 1,6-bisphosphatase
ENZRXN-20664	SAM isoeugenol <i>O</i>-methyltransferase
ENZRXN-1235	ferulate 5-hydroxylase
ENZRXN-18919	4,4'-diapo-&zeta;-carotene desaturase
ENZRXN-21730	D-hydroxyproline dehydrogenase
ENZRXN-521	choline sulfatase
ENZRXN-16590	cob(II)yrinate <i>a,c</i>-diamide reductase
ENZRXN-12920	butyryl-CoA:acetoacetate CoA-transferase
ENZRXN-17955	caffeine demethylase
ENZRXN0-783	CTP reductase
ENZRXN-2565	benzoylformate carboxy-lyase (benzaldehyde-forming)
ENZRXN-18887	adenine deaminase
ENZRXN-14050	L-arabinolactonase
ENZRXN-18701	linoleate epoxidase
ENZRXN1G-1170	cis,cis-delta13,25-3-oxo-C44:2-[acp] reductase
ENZRXN-6985	2-hydroxydaidzein reductase
ENZRXN0-5561	c-di-GMP phosphodiesterase
ENZRXN-20447	delta 5 elongase
ENZRXN0-6530	isovaleryl-CoA dehydrogenase
ENZRXN-2422	2-chloro-<i>trans</i>-dienelactone hydrolase
ENZRXN0-6301	type I site-specific deoxyribonuclease
ENZRXN-6936	&alpha;-pinene synthase
ENZRXN66-1940	glycogen phosphorylase
SUCCSEMIALDDEHYDROG-ENZRXN	NADP<sup>+</sup>-dependent succinate-semialdehyde dehydrogenase
ENZRXN-15971	pseudaminic acid cytidylyltransferase
ENZRXN-6264	UDP-glucose:phenylacetothiohydroximate glucosyltransferase
ENZRXN-14178	hypotaurine dehydrogenase
ENZRXN-15183	arachidoyl-CoA hydrolase
ENZRXN-15361	CoA:apo-[acyl-carrier protein]-pantetheinephosphotransferase
ENZRXN-13852	aqualysin I
ENZRXN-14149	glucose-fructose oxidoreductase
GLUTDECARBOXB-ENZRXN	glutamate decarboxylase B
ENZRXN0-6255	6-phosphogluconate phosphatase
ENZRXN-11344	sarcosine dehydrogenase
ENZRXN-18121	3-(hydroxyamino)phenol mutase
ENZRXN-18022	[heparan sulfate]-&beta;-D-glucuronate-2-<i>O</i>-sulfotransferase
ENZRXN1G-88	cis,cis-delta9,21-C40:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)
ENZRXN-17605	oxidized polyvinylalcohol hydrolase
ENZRXN-165	sedoheptulose-1,7-bisphosphate aldolase
ENZRXN-16466	indole-3-acetyl-glycine synthetase
ENZRXN-17447	&beta;-alanine synthase
ENZRXN-12427	2-aceto-2-hydroxy-butanoate isomeroreductase
ENZRXN490-376	glutamate synthase (ferredoxin)
ENZRXN-3004	2-hydroxy-5-carboxymethylmuconate semialdehyde dehydrogenase
ENZRXN-17706	aldehyde ferredoxin oxidoreductase
ENZRXN-15304	(<i>R</i>)-3-hydroxyhexanoyl-[acp] dehydratase
ENZRXN-267	lactyl-CoA dehydratase
ENZRXN-19396	homophytochelatin synthase
ENZRXN-20357	diacylglycerol kinase
ENZRXN-16179	3-chlorocatechol 1,2-dioxygenase
ENZRXN-18782	S-adenosylmethionine: halide ion methyltransferase
ENZRXN-20385	3-fumarylpyruvate hydrolase
ENZRXN-15507	16-hydroxypalmitate dehydrogenase
ENZRXN-19237	plasma membrane H+-ATPase
ENZRXN-10312	HBOA monooxygenase
ENZRXN0-2802	glutaminase
ENZRXN-17562	peptidoglycan DD transpeptidase
ENZRXN0-6372	N-acetylmuramyl-L-alanine amidase
ENZRXN-21488	ferredoxin NADP reductase
ENZRXN-13749	fructose-1,6-bisphosphate aldolase
ENZRXN-6429	UDP-glucose:cis-zeatin O-&beta;-D-glucosyltransferase
ENZRXN-19547	lachrymatory factor synthase
ENZRXN-18313	&alpha;-D-glucopyranosyl-diphosphoundecaprenol glucosyltransferase
ENZRXN-13786	dirigent protein
ENZRXN-21319	naringenin 2-hydroxylase
ENZRXN-1221	acetylglutamate kinase
ENZRXN-1501	chorismate mutase
ENZRXN-19354	phosphonoacetate hydrolase
ENZRXN-12824	protocatechualdehyde:oxygen oxidoreductase
ENZRXN-19963	alginate lyase
ENZRXN-15403	dimethylsulfoniopropionate demthylase
ENZRXN3O-11416	ADP reductase
ENZRXN-21618	friedelin synthase
ENZRXN-20167	salicylate monooxygenase
ENZRXN-19997	arogenate dehydratase
ENZRXN-12661	APS reductase
ENZRXN-14906	carboxynorspermidine decarboxylase
ENZRXN-18591	tRNA ligase
ENZRXN3O-368	saccharopine dehydrogenase (NADP+, L-glutamate-forming)
ENZRXN-17291	melatonin deacetylase
ENZRXN-21450	nucleoside triphosphate phosphohydrolase
ENZRXN-16356	4-chlorobenzoate:coenzyme A ligase
ENZRXN-12952	malonyl-CoA:shisonin 6-O-malonyltransferase
ENZRXN-17641	alcohol dehydrogenase
ENZRXN-4024	methenyl tetrahydrofolate cyclohydrolase
ENZRXNQT-9697	&alpha;-amyrin synthase
ENZRXN3O-4172	isobutanol dehydrogenase
DIHYDROOROT-ENZRXN	dihydroorotase
ENZRXN-14742	CDP-abequose synthase
ENZRXN-18401	dehydroquinate dehydratase
ENZRXN-5788	campesterol,NADPH:oxygen oxidoreductase
ENZRXN0-6586	D-alanyl-D-alanine carboxypeptidase
ENZRXN-21160	myricetin 3-<i>O</i>-methyltransferase
ENZRXN-12786	UDP-glucose: 4-methylthiobutylhydroximate S-glucosyltransferase
ENZRXN-19424	<i>all-trans</i>-retinol dehydrogenase
ENZRXN0-2081	DNA-cytosine methyltransferase
ENZRXN-12097	D-sorbitol dehydrogenase
ENZRXN-13560	p-xylene monooxygenase
ENZRXN-20249	aldehyde decarbonylase
DUDPKIN-ENZRXN	dUDP kinase
GPH-ENZRXN	phosphoglycolate phosphatase
ENZRXNQT-12526	7-methylthioheptylglucosinolate S-oxygenase
ENZRXN1G-299	trans-delta2-cis,cis-delta9,21-C40:3-[acp]:NADH+ oxidoreductase (B-specific)
ENZRXN-1455	5'-methylthioribose kinase
ENZRXN-14868	2-methyl-6-phytyl-1,4-benzoquinone methyltransferase
ENZRXN-21521	2-dehydro-3-deoxygluconokinase
ENZRXN66-6834	LTE4 dipeptidase
ENZRXN-13352	&beta;-elemene synthase
ENZRXN-447	cobinamide phosphate guanylyltransferase
ENZRXN-17738	D-galacturonate reductase
ENZRXN-15707	3-oxoadipate:NAD(P)+ oxidoreductase
ENZRXN-12136	UDP-glucose pyrophosphorylase
ENZRXN-9721	3-aminopropionaldehyde dehydrogenase
ENZRXN-16065	pyrimidine nucleotide reductase
ENZRXN-20754	rhamnosyl-spinosyn tetracyclic macrolactone synthase
ENZRXNQT-7296	ADP reductase
ENZRXN-17185	NADPH-dehydroascorbate reductase
ENZRXN-18499	2-hydroxyethylphosphonate 1-hydroxylase
ENZRXN-12852	D-xyulokinase
ENZRXN-13636	&beta;-ketoadipyl CoA thiolase
ENZRXN0-3301	UDP-N-acetylmuramate:L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-diaminopimelate ligase
ENZRXN-19760	&Delta;6-desaturase
ENZRXN-18526	geranial dehydrogenase
ENZRXN66-4129	4,4-dimethyl-14&alpha;-hydroxymethyl-5&alpha;-cholesta-8-en-3&beta;-ol,NADPH:oxygen oxidoreductase
ENZRXN-21063	3-hydroxystearoyl-[acyl-carrier protein] dehydratase
ENZRXN-18212	crotonyl-CoA reductase
ENZRXN1G-1165	trehalose-trans-keto-mycolate:trehalose-trans-keto-mycolate 6-mycolyltransferase
ENZRXN8J2-1920	malyl-<i>N</i>-acetyl-D-glucosamine <i>N</i>-acetyl hydrolase
ENZRXN0-1581	leucyl, phenylalanyl-tRNA-protein transferase
ENZRXN-15791	3,8'-biflaviolin synthase
ENZRXN-15051	(R,R)-butanediol dehydrogenase
ENZRXN-14944	(1R,4R)-dihydrocarvone:acceptor 1,6-oxidoreductase
ACETALD-DEHYDROG-ENZRXN	acetaldehyde dehydrogenase
ENZRXN-85	rubredoxin NAD<SUP>+</SUP> reductase
ENZRXN-5295	succinyl-CoA:acetyl-CoA C-succinyltransferase
ENZRXN-15968	cytidine 5'-monophosphate <i>N</i>-acetylneuraminate synthetase
ENZRXN-17038	phosphatidylinositol-4,5-bisphosphate 5-phosphatase
ENZRXN-19857	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
ENZRXN-20055	theobromine <i>N</i>3-demethylase
ENZRXN-17329	bisphosphoglycerate mutase
ENZRXN-14141	light-independent protochlorophyllide reductase
ENZRXN66-5937	hormone-sensitive lipase
FMNREDUCT-ENZRXN	FMN reductase
ENZRXN-14456	propanal:NAD(P)+ oxidoreductase
ENZRXN-18118	Mn(II) oxidase
ENZRXN-11917	indole-3-acetaldoxime dehydratase
ASNSYNA-ENZRXN	asparagine synthetase
ENZRXN1G-1398	cis,cis-delta5,23-3-oxo-C42:2-[acp] reductase
ENZRXN-21194	hydroperoxy fatty acid reductase
ENZRXN-1903	ADP-glucose pyrophosphorylase
ENZRXN-3385	choline monooxygenase
ENZRXN66-2245	CDP kinase
ENZRXN-17151	diadenosine 5',5'''-pentaphosphate hydrolase
ENZRXN0-250	propionyl-CoA:succinate CoA transferase
ENZRXN-16795	16-hydroxypalmitate <i>O</i>-feruloyl ltransferase
ENZRXN-30	putrescine acetyltransferase
ENZRXN-11998	histidine-2-oxooglutarate aminotransferase
ENZRXN-14585	3-aminopropanal:NAD(P)+ oxidoreductase
ENZRXN-13169	(mannosyl)<sub>3</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol:GDP-mannose &alpha;-1,2-mannosyltransferase
ENZRXN-16004	<i>S</i>-ribosylhomocysteine lyase
ENZRXN-20915	nitrite reductase
ENZRXN-13450	UDP-glucose:crocetin monoglucosyl ester 8,8'-glucosyltransferase
ENZRXN-12518	prenyltransferase
ENZRXN-19146	1,4-&alpha;-D-glucan maltohydrolase
ENZRXN-20661	N-formyldemecolcine deformylase
ENZRXN-15502	naphthalene 1,2-dioxygenase
ENZRXN66-6864	17-hydroxyprogesterone 21-hydroxylase
ENZRXN-13244	C-22 sterol desaturase
ENZRXN-20790	&beta;-cyano-<i>L</i>-alanine hydratase
ENZRXN0-7592	inorganic triphosphatase
ENZRXN-18147	dihydrocamalexate synthase
ENZRXN-7702	tryptophan dioxygenase
ENZRXN-14046	L-arabinose reductase
ENZRXN-15603	7&alpha;-hydroxycholest-4-en-3-one reductase
ENZRXN-19544	ornithine &delta;-aminotransferase
ENZRXN-16889	NADH-dependent flavin reductase
ENZRXN-21027	S-tetrahydrocolumbamine O-methyltransferase
ENZRXN0-7700	3-phosphoserine phosphatase
ENZRXNCEQ-3134	pyruvate dehydrogenase
ENZRXN-17216	lysine decarboxylase
PHOSNACMURPENTATRANS-ENZRXN	phospho-N-acetylmuramoyl-pentapeptide transferase
ENZRXN66-19231	Arachidonate 5-lipoxygenase
ENZRXN-3161	adenosine deaminase
ENZRXN-21615	SSQ1 chaperone
ENZRXN-14275	GTP cyclohydrolase
SPERMIDINESYN-ENZRXN	spermidine synthase
ENZRXN-19650	glucosamine kinase
ENZRXN-9103	galactokinase
ENZRXN-18876	PLP-dependent GDP-4-amino-4,6-dideoxy-&alpha;-D-<i>N</i>-acetylglucosamine aminotransferase
ENZRXN-8283	arogenate dehydratase
ENZRXN-21094	2-amino-4,5-dihydroxy-6-one-heptanoic acid-7-phosphate synthase
ENZRXN-11341	<i>N</i>-carbamoylsarcosine amidohydrolase
ENZRXN-12949	UDP-D-glucose:cyanidin-3-<i>O</i>-&beta;-D-glucoside 5-O-glucosyltransferase
ENZRXN-17933	carbazole 1,9a-dioxygenase
ENZRXN-18014	heparan sulfate <i>N</i>-sulfotransferase
ENZRXN-13380	fructokinase
ENZRXN66-2507	lanosterol synthase
ENZRXN-16636	2-oxo-3-methyl-isovalerate dehydrogenase
ENZRXN-11706	4-hydroxy-2-oxovalerate aldolase
ENZRXN-6924	terpinolene synthase
ENZRXN-14417	ribulose bisphosphate carboxylase
ENZRXN-8643	isatine amidohydrolase
ENZRXN-12424	branched-chain-amino-acid aminotransferase
ENZRXN0-6583	tRNA<sup>Met</sup> cytidine acetyltransferase
ENZRXN-264	acetate kinase
ENZRXN-12552	tyrosine aminotransferase
ENZRXN-2334	1,4-&alpha;-D-glucan glucanohydrolase
ENZRXN-15536	UDP-fucose:digitoxigenin 3-O-fucosyltransferase
ENZRXN-20492	esculetin 6-<i>O</i>-glucosyltransferase
ENZRXN-13052	acetylajmaline esterase
ENZRXN-16456	indole-3-acetyl-phenylalanine synthetase
ENZRXN-16759	arginine decarboxylase
ENZRXN-18779	rhamnogalacturonan rhamnohydrolase
GMP-REDUCT-ENZRXN	GMP reductase
ENZRXN-14484	propionyl-CoA carboxylase
ENZRXN0-6327	H-Gcv-protein-(dihydrolipoyl)lysine:NAD+ oxidoreductase
ENZRXN-16919	tyrosine aminotransferase
ENZRXN0-6222	lipopolysaccharide glucosyltransferase
ENZRXN-19578	2-methyl-3-buten-2-ol synthase
ENZRXN-13894	diketodeoxyinositol hydrolase
ENZRXN-6426	<i>cis</i>-zeatin-<i>O</i>-glucosyltransferase
ENZRXN0-7381	cyclic di-GMP phosphodiesterase
ENZRXN-17735	D-galacturonate reductase
ENZRXN-20345	agmatine deaminase
ENZRXN-20626	2-phenylethanol acetyltransferase
ENZRXN-15386	3-carboxymuconate cycloisomerase
ENZRXN-18908	all-<i>trans</i>-phytoene desaturase
ENZRXN-16822	hexaketide pyrone synthase
ENZRXN-15277	&Delta;<sup>6</sup>-acyl-lipid desaturase
ENZRXN3O-11127	uroporphyrinogen-III C-methyltransferase
ENZRXN-12981	10-hydroxydihydrosanguinarine-10-O-methyltransferase
ENZRXN0-3241	D-allose kinase
ENZRXN5F9-3252	phthalate 3,4-dioxygenase
ENZRXN-17631	cinnamoyl-CoA lyase
LYXK-ENZRXN	L-xylulose kinase
ENZRXN-6967	<i>N</i>-hydroxyvaline <i>N</i>-monooxygenase
ENZRXN-5121	isoliquiritigenin-2'-O-methyltransferase
ENZRXN-14011	glyceraldehyde-3-phosphate dehydrogenase
ENZRXN-20689	nitric oxide reductase
ENZRXN-16353	2-aminophenol 1,6-dioxygenase
ENZRXN-15042	germacradienol synthase
ENZRXN-17538	<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(glycine)-D-alanyl-D-alanine-diphosphoundecaprenyl-<i>N</i>-acetylglucosamine:glycine transferase
ENZRXN-19416	cyclic pyranopterin monophosphate synthase
ENZRXN0-6620	acyl-[acp]:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase
ENZRXN-14169	acetate kinase
ENZRXN-10561	glutamate decarboxylase
ENZRXN-17829	<i>trans</i>-zeatin riboside monophosphate phosphoribohydrolase
ENZRXN-13738	glyoxalase I
ENZRXN66-18124	2-hydroxy-3-methyl-branched 2,3,4-saturated fatty acyl-CoA lyase
ENZRXN-14076	cob(I)yrinic acid a,c-diamide adenosyltransferase
ENZRXN-18399	(<i>S</i>)-&beta;-macrocarpene synthase
ENZRXN-17325	D-galactose-2,6-sulfohydrolase
ENZRXN-21513	GA5 2,3 epoxidase
ENZRXN-16483	indole-3-acetyl-tryptophan synthetase
ENZRXN-19327	23S rRNA (adenine<sup>2503</sup>-<i>C</i><sup>8</sup>)-methyltransferase
HISTAMINOTRANS-ENZRXN	histidinol-phosphate aminotransferase
ENZRXN-12254	triose phosphate isomerase
ENZRXN-21704	3-hydroxymyristoyl-[acyl-carrier protein] dehydratase
ENZRXN-19948	&Delta;5  elongase
ENZRXN-11210	myo-inositol-biphosphate phosphohydrolase
ENZRXN-20246	long-chain-fatty-acid&mdash;CoA ligase
ENZRXN-21191	kaempferide 3-<i>O</i>-glucosyltransferase (F3GT2)
ENZRXN66-19628	resolvin E2 synthase
ENZRXN-12843	xylitol dehydrogenase
ENZRXN-20376	11-cis-retinol dehydrogenase
ENZRXN-21427	esculin beta-glucosidase
ENZRXN-17766	methylthioalkylmalate isomerase
ENZRXN-18629	4&alpha;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-cholest-24-en-3&beta;-ol isomerase
ENZRXN-445	ATP:adenosylcobinamide phosphotransferase
ENZRXN0-5061	methionine-<i>S</i>-sulfoxide reductase
ENZRXN-14582	aldehyde dehydrogenase
ENZRXN3O-239	indole-3-ethanol dehydrogenase
ENZRXN-12390	diaminopimelate epimerase
ENZRXN-14934	phycocyanobilin:ferredoxin oxidoreductase
ENZRXN-13776	acetol monooxygenase
ENZRXN-11490	UDP-L-arabinose pyrophosphorylase
ENZRXN-12761	phospholipid:diacylglycerol acyltransferase
ENZRXN-13633	salicylaldehyde dehydrogenase
ENZRXN-21641	hercynylcysteine sulfoxide lyase
ENZRXN-20784	phenylalanine aminomutase [(<i>S</i>)-&beta;-phenylalanine-forming]
ENZRXN-6044	pterocarpan synthase
F16BDEPHOS-ENZRXN	fructose-1,6-bisphosphatase
ENZRXN-15157	ammonium transporter
ENZRXN-19986	(+)-bornyl-diphosphate diphosphatase
DHBDEHYD-ENZRXN	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
ENZRXN-18742	glucosylceramide &beta;-1,4-galactosyltransferase
ENZRXN-12451	GDP-D-mannose:GDP-L-gulose epimerase
ENZRXN-15788	xylitol oxidase
ENZRXNARA-465	3-hydroxyacyl-CoA dehydrogenase
ENZRXN-14840	(S)-corytuberine synthase
ENZRXN0-2464	23S rRNA pseudouridine synthase
ENZRXN0-4041	topoisomerase
ENZRXN3O-4140	3-methylbutanol dehydrogenase
ENZRXN1G-4386	cerotoyl-CoA carboxylase
ENZRXN-17426	hemoglobin metallopeptidase
ENZRXN-12086	2-methyleneglutarate mutase
ENZRXN-6388	UDP-glucose:dihydrozeatin 7-N-glucosyltransferase
ENZRXN-1881	aminobenzoate-CoA ligase
ENZRXN-19846	<small>L</small>-ascorbate peroxidase
ENZRXN-9081	pyruvate kinase
ENZRXN66-6856	17-hydroxypregnenolone dehydrogenase
DTDPDEHYDRHAMEPIM-ENZRXN	dTDP-4-dehydrorhamnose 3,5-epimerase
ENZRXNQT-6460	phosphoglycolate phosphatase
ENZRXN-15079	versicolorin B desaturase
ENZRXN-16108	2-chloromaleylacetate reductase
ENZRXN-19211	&zeta;-carotene desaturase
ENZRXN-13342	(+)-&beta;-barbatene synthase
ENZRXN3O-1003	ferredoxin reductase
ARGSUCCTRAN-ENZRXN	arginine succinyltransferase
ENZRXN66-2495	inositol-1,4,5-trisphosphate 5-phosphatase
ENZRXN-6582	isoflavone-7-O-glucoside-6''-O-malonyltransferase
ENZRXN-17208	vibriobactin synthase
ENZRXN-12128	stilbene synthase
ENZRXN0-1162	3-phytase
ENZRXN-17360	L-2,4-diaminobutyrate:2-ketoglutarate 4-aminotransferase
ENZRXN-1825	L-tryptophan <i>N</i>-monooxygenase
ENZRXN-11995	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase
ENZRXN-21285	deoxyuridine phosphorylase
ENZRXN-12547	tyrosine aminotransferase
ENZRXN-18488	isoleucine <i>N</i>-monooxygenase (oxime forming)
ENZRXN-16217	L-phenylalanine:2-oxoglutarate aminotransferase
ENZRXN-21085	3,7-dimethylquercetagetin 6-<i>O</i>-methyltransferase
ENZRXN-18517	dimethylglycine dehydrogenase
ENZRXN3O-1335	ornithine decarboxylase
ENZRXN66-5679	carboxylesterase
ENZRXN-13241	nitrite reductase
ENZRXN-21219	anthocyanidin 3-<i>O</i>-glucoside 2''-<i>O</i>-glucosyltransferase
ENZRXN-201	butanol dehydrogenas
ENZRXN-8622	norcoclaurine synthase
ENZRXN-12637	eriodictyol,NADPH:oxygen oxidoreductase
ENZRXN-5286	dichloroethene-reductive dehalogenase
ENZRXN1G-1134	6-O-cis-keto-mycolyl-&beta;-D-mannopyranosyl-1-phosphoheptaprenol:trehalose 6-phosphate mycolyltransferase
ENZRXN-18359	anthranilate-coenzyme A ligase
ENZRXN-16381	indole-3-acetyl-isoleucine synthetase
ENZRXN-17126	inositol-1,3,4,5,6-pentakisphosphate kinase
ENZRXN-14474	L-arginine:pyruvate transaminase
ENZRXN-12578	2,3,4-saturated fatty acyl-CoA ligase
ENZRXN1G-1353	3-oxo-C86-trans-methoxy-mycolate synthase
ENZRXN-362	methyl-H<SUB>4</SUB>SPT:CoM methyltransferase
ENZRXN-14701	(+)-bornyl diphosphate synthase
ENZRXN-15955	unsaturated archaetidylserine synthase
ENZRXN-20212	cholesterol 7&alpha;-monooxygenase
ENZRXN-20283	triterpene methyltransferase
ENZRXN-16812	phyllocladan-16&alpha;-ol synthase
ENZRXN-15991	cytidine 5'-monophosphate <i>N</i>-acetylneuraminate synthetase
ENZRXN-19119	feruloyl-CoA 6'-hydroxylase
ENZRXN-14619	acetaldehyde:NADP+ oxidoreductase
ENZRXN-13489	(+)-copalyl diphosphate synthase
ENZRXNQT-12497	6-methylthiohexyldesulfoglucosinolate sulfotransferase
ENZRXN-18105	1-deoxy-D-ribulose 5-phosphate reductoisomerase
ENZRXN-4247	6-phospho-3-hexuloisomerase
ENZRXN-4643	dihydroxyacetone kinase
ENZRXN-20680	diethylamine monooxygenase
ENZRXN-18137	laccase
ENZRXN-21004	deacetylisoipecoside 6-O-methyltransferase
ENZRXNIO2-3212	phosphate acetyltransferase
ENZRXN-15640	poly(beta-D-mannuronate) C5 epimerase
ENZRXN-9642	diamine oxidase
ENZRXN-2925	sulfoacetaldehyde acetyltransferase
ENZRXN-13601	(-)-&beta;-cubebene synthase
ENZRXN-14067	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
ENZRXN-3113	3-hydroxybenzoate 4-hydroxylase
ENZRXN-13662	1-<i>O</i>-hydroxycinnamoyl-&beta;-glucose:amaranthin O-hydroxycinnamoyl transferase
ENZRXN-81	butyrate kinase
ENZRXN-9301	galactose 1-phosphate uridyl transferase
ENZRXN-19691	1-hydroxylycopene hydratase
ENZRXN66-19614	15 epi-lipoxin A4 synthase
ENZRXN66-3981	presqualene diphosphate:farnesyl-diphosphate farnesyltransferase
ENZRXN-13369	nicotinate mononucleotide adenylyltransferase
ENZRXN-15485	malonate decarboxylase
ENZRXN-15749	3,5-dichlorocatechol 1,2-dioxygenase
ENZRXN-15825	3-oxo-C86-trans-methoxy-mycolate-[pks13-c-ppb] reductase
ENZRXN-14387	OHCU decarboxylase
ENZRXN-11446	UDP-glucuronate decarboxylase
ENZRXN66-2837	[chondroitin]-<i>N</i>-acetylgalactosamine 6-<i>O</i>-sulfotransferase
ENZRXN-15523	7&alpha;, 12&alpha;-dihydroxy-5&beta;-cholestan-3-one 3&alpha;-reductase
ENZRXN-11848	succinylornithine transaminase
ENZRXN-1701	glutathionylspermidine synthetase
ENZRXN-19527	carboxy-adenylated-[ThiS sulfur-carrier-protein] sulfurtransferase
ENZRXN-19803	8-oxo-dGTP diphosphatase
ENZRXN-19884	glucose-6-phosphate isomerase
ENZRXN-12442	butanoyl-CoA dehydrogenase
ENZRXN-19565	3-ketodihydrosphinganine (C18) reductase
ENZRXN-16735	OPC8 acyl-CoA oxidase
ENZRXN-16945	(-)-(&alpha;<i>S</i>,&beta;<i>R</i>)-guaiacylglycerol-&beta;-guaiacyl ether dehydrogenase
ENZRXN-13094	glutamine synthetase
ENZRXN-19007	<i>cis</i>-3-hexenal reducatase
ENZRXN-21601	&alpha;-amyrin synthase
ADENYLOSUCCINATE-SYNTHASE-ENZRXN	adenylosuccinate synthetase
CARDIOLIPSYN-ENZRXN	cardiolipin synthase
ENZRXN-18800	tetraketide &alpha;-pyrone synthase
ENZRXN-12970	berberine bridge enzyme
ENZRXN-20597	germacrene D synthase
ENZRXN-18937	caffeate 3-<i>O</i>-methyltransferase
ENZRXN0-7425	phosphate acetyltransferase
ENZRXN-20887	acid phosphatase
UROPORIIIMETHYLTRANSA-ENZRXN	S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase
ENZRXN-11960	gibberellin A12,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-6502	5-<i>epi</i>-aristolochene synthase
ENZRXN0-6608	GTPase
ENZRXN-12023	geranylgeranyl pyrophosphate synthase
ENZRXN-13987	purine hydroxylase
ENZRXN-20814	3,5,7-trioxododecanoyl-CoA synthase
NAD-SYNTH-NH3-ENZRXN	NAD+ synthetase, NH3-dependent
ENZRXN3O-1240	allantoicase
ENZRXN-7563	sinapoylglucose:choline <i>O</i>-sinapoyltransferase
H2NEOPTERINP3PYROPHOSPHOHYDRO-ENZRXN	dihydroneopterin triphosphate pyrophosphohydrolase
ENZRXN-12938	cinnamate glucosyltransferase
ENZRXN-1321	carbamoyl-phosphate synthetase, arginine specific
ENZRXN-13272	1-18:2-2-18:3-monogalactosyldiacylglycerol desaturase
