"Additional file 1 - List of reactions, genes and metabolites included in the R. ferrireducens in silico model"						
						
List of intracellular reactions						
						
Abbreviation	Name	Equation	Confidence	Subsystem	Gene	Protein
TRPAS1	Tryptophanase (L-cysteine)	[c] : cys-L + h2o --> h + h2s + nh4 + pyr	3	Cysteine Metabolism	Rfer_2475	TnaA
TRPAS2	Tryptophanase (L-tryptophan)	[c] : h2o + trp-L <==> indole + nh4 + pyr	3	Cysteine Metabolism	Rfer_2475	TnaA
CYOR2u8	cytochrome-c reductase (ubiquinol8: 2 protons translocated)	(2) ficytcc[c] + ubq8h2[c] --> (2) focytcc[c] + (2) h[e] + ubq8[c]	3	Energy Metabolism	"Rfer_2964, Rfer_2965, Rfer_2966"	PetB+PetC+PetA
HDH	hydrogen dehydrogenase	[c] : h2 + nad <==> h + nadh	3	Energy Metabolism	"Rfer_3857+Rfer_3858, Rfer_3855+Rfer_3856"	HoxFU+HoxHY
HDH4	hydrogen dehydrogenase menquinone (2 H+)	(2) h[c] + h2[e] + mqn7[c] --> (2) h[e] + mql7[c]	3	Energy Metabolism	Rfer_4089+Rfer_4088+Rfer_4091+Rfer_4090	PhyB
IQNLOR	isoquinoline 1-oxidoreductase	[c] : (2) ficytcc + h2o + iqnl <==> (2) focytcc + (2) h + iqnln	2	Energy Metabolism	Rfer_0864+Rfer_0863	IorAB
HBUR1	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase	[c] : actACP + h + nadph --> 3hbACP + nadp	3	Fatty Acid  Biosynthesis	Rfer_4047	FabG2a
HDDR5	3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : 3oxddACP + h + nadph --> 3hddACP + nadp	3	Fatty Acid  Biosynthesis	Rfer_4047	FabG2a
HDER4	(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : 3oxdeACP + h + nadph --> 3hdeACP + nadp	3	Fatty Acid  Biosynthesis	Rfer_4047	FabG2a
HHDR7	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : 3oxhdACP + h + nadph --> 3hpaACP + nadp	3	Fatty Acid  Biosynthesis	Rfer_4047	FabG2a
HHYR2	(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : 3oxhACP + h + nadph --> 3hhACP + nadp	3	Fatty Acid  Biosynthesis	Rfer_4047	FabG2a
HOCR3	(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : 3oxocACP + h + nadph --> 3hocACP + nadp	3	Fatty Acid  Biosynthesis	Rfer_4047	FabG2a
HODR8	(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : 3oxocdacp + h + nadph --> 3hocdacp + nadp	3	Fatty Acid  Biosynthesis	Rfer_4047	FabG2a
HTDR6	3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : 3oxtdACP + h + nadph --> 3htdACP + nadp	3	Fatty Acid  Biosynthesis	Rfer_4047	FabG2a
ACACT8r	acetyl-CoA C-acyltransferase (3-Oxoadipyl-CoA)	[c] : coa + oxadpcoa <==> accoa + succoa	3	Fatty Acid Degradation	"Rfer_0226, Rfer_2753, Rfer_1034"	"PcaF2, PcaF, PcaF3"
HACD1	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	[c] : aacoa + h + nadh <==> 3hbycoa + nad	3	Fatty Acid Degradation	Rfer_0224	MmgB
HBUTD	3-hydroxybutyrate dehydrogenase	[c] : 3hbut-R + nad <==> acac + h + nadh	3	Fatty Acid Degradation	Rfer_2069	BdhA
DHNPA	dihydroneopterin aldolase	[c] : dhnpt --> 2ahhmp + gcald	2	Folate Metabolism	Rfer_0814	FolB
GCALDD	Glycolaldehyde dehydrogenase	[c] : gcald + h2o + nad --> glyclt + (2) h + nadh	1	Folate Metabolism		
GLYCL	glycine cleavage system	[c] : gly + nad + thf --> co2 + mlthf + nadh + nh4	3	Folate Metabolism	"Rfer_3020, Rfer_3019, Rfer_2214, Rfer_3021"	GcvP+LpdA+GcvH+GcvT
MTHFR2	"5,10-methylenetetrahydrofolate reductase (NADH)"	[c] : (2) h + mlthf + nadh --> 5mthf + nad	3	Folate Metabolism	Rfer_0654	MetF
GLUN	glutaminase	[c] : gln-L + h2o --> glu-L + nh4	2	Glutamate Metabolism	Rfer_2993	AnsB
GLUSy	glutamate synthase (NADPH)	[c] : akg + gln-L + h + nadph --> (2) glu-L + nadp	3	Glutamate Metabolism	Rfer_2934+Rfer_2933	GltB
GLUTRS	Glutamyl-tRNA synthetase	[c] : atp + glu-L + trnaglu --> amp + glutrna + ppi	3	Glutamate Metabolism	"Rfer_1905, Rfer_2681"	"GltX, GltX1"
GLNS	glutamine synthetase	[c] : atp + glu-L + nh4 --> adp + gln-L + h + pi	3	Glutamine Metabolism	Rfer_2979	GlnA
FGLUTH	S-Formylglutathione hydrolase	[c] : fglut-S + h2o --> for + gthrd + h	3	Glutathione Metabolism	Rfer_0122	YfgH
GHMT2	glycine hydroxymethyltransferase	[c] : ser-L + thf --> gly + h2o + mlthf	3	Glycine and Serine Metabolism	Rfer_2658	GlyA
GLYTRS	Glycyl-tRNA synthetase	[c] : atp + gly + trnagly --> amp + glytrna + ppi	3	Glycine and Serine Metabolism	Rfer_3696+Rfer_3695	GlyQS
PGCD	phosphoglycerate dehydrogenase	[c] : 3pg + nad --> 3php + h + nadh	3	Glycine and Serine Metabolism	"Rfer_1248, Rfer_1867"	SerA
PSP_L	phosphoserine phosphatase (L-serine)	[c] : h2o + pser-L --> pi + ser-L	2	Glycine and Serine Metabolism	Rfer_1329	SerB
SERD_L	L-serine deaminase	[c] : ser-L --> nh4 + pyr	3	Glycine and Serine Metabolism	"Rfer_0344, Rfer_1084, Rfer_2475"	"TnaA, IlvA2, SdaB"
SERTRS	Seryl-tRNA synthetase	[c] : atp + ser-L + trnaser --> amp + ppi + sertrna	3	Glycine and Serine Metabolism	Rfer_3243	SerS
ACYP	acylphosphatase	[c] : 13dpg + h2o --> 3pg + h + pi	2	Glycolysis/Gluconeogenesis	Rfer_1453	AcyP
FBA	fructose-bisphosphate aldolase	[c] : fdp <==> dhap + g3p	3	Glycolysis/Gluconeogenesis	Rfer_0204	Fba
FBP	fructose-bisphosphatase	[c] : fdp + h2o --> f6p + pi	3	Glycolysis/Gluconeogenesis	"Rfer_1393, Rfer_2704"	"Fbp, Fbp1"
GAPD	glyceraldehyde-3-phosphate dehydrogenase (NAD)	[c] : g3p + nad + pi <==> 13dpg + h + nadh	3	Glycolysis/Gluconeogenesis	Rfer_4111	GapA
GLCP	glycogen phosphorylase	[c] : glycogen + pi --> g1p	3	Glycolysis/Gluconeogenesis	Rfer_0511	GlgP
GLCS1	glycogen synthase (ADPGlc)	[c] : adpglc --> adp + glycogen + h	3	Glycolysis/Gluconeogenesis	Rfer_0512	GlgA
GLGC	glucose-1-phosphate adenylyltransferase	[c] : atp + g1p + h --> adpglc + ppi	3	Glycolysis/Gluconeogenesis	Rfer_0513	GlgC
PDH	pyruvate dehydrogenase	[c] : coa + nad + pyr --> accoa + co2 + nadh	3	Glycolysis/Gluconeogenesis	"Rfer_2214, Rfer_2213, Rfer_2212"	AceFec+AceEec+LpdA
PGK	phosphoglycerate kinase	[c] : 13dpg + adp <==> 3pg + atp	3	Glycolysis/Gluconeogenesis	"Rfer_3690, Rfer_0816"	"Pgk, GpmB"
PPS	phosphoenolpyruvate synthase	[c] : atp + h2o + pyr --> amp + (2) h + pep + pi	3	Glycolysis/Gluconeogenesis	Rfer_2191	Ppsa
PYK	pyruvate kinase	[c] : adp + h + pep --> atp + pyr	3	Glycolysis/Gluconeogenesis	Rfer_0205	Pyka
TPI	triose-phosphate isomerase	[c] : dhap <==> g3p	3	Glycolysis/Gluconeogenesis	Rfer_1491	Tpi
GLYCLTDx	Glycolate dehydrogenase (NAD)	[c] : glx + h + nadh --> glyclt + nad	3	Glyoxylate Metabolism	Rfer_3829	YcdW
GLYCLTDy	Glycolate dehydrogenase (NADP)	[c] : glx + h + nadph --> glyclt + nadp	3	Glyoxylate Metabolism	Rfer_3829	YcdW
HOXPRx	2-hydroxy-3-oxopropionate reductase (NAD)	[c] : glyc-R + nad <==> 2h3opp + h + nadh	3	Glyoxylate Metabolism	Rfer_3038	GlxR
TARTRDH	tartrate dehydrogenase	[c] : nad + tartr-L <==> h + nadh + oxglyc	3	Glyoxylate Metabolism	"Rfer_2247, Rfer_0845"	"Trdh2, Trdh"
TARTRDH2	tartrate dehydrogenase	[c] : nad + tartr-M <==> h + nadh + oxglyc	3	Glyoxylate Metabolism	"Rfer_2247, Rfer_0845"	"Trdh2, Trdh"
HISTRS	Histidyl-tRNA synthetase	[c] : atp + his-L + trnahis --> amp + histrna + ppi	3	Histidine Metabolism	Rfer_2306	HisS
PRPPS	phosphoribosylpyrophosphate synthetase	[c] : atp + r5p <==> amp + h + prpp	3	Histidine Metabolism	"Rfer_1660, Rfer_0391"	"Prs, PrsA"
AMAA	N-acetylmuramoyl-L-alanine amidase	[c] : acmama + h2o --> acmam + ala-L	2	Lipid & Cell Wall Metabolism	Rfer_3303	AmiA1
ARA4NT	4-amino-4-deoxy-L-arabinose transferase	[c] : (2) ara4n-L + (2) h + lipa --> ara4n-lipa + (2) h2o	2	Lipid & Cell Wall Metabolism	Rfer_0769	ArnT
CDPDSP	CDPdiacylglycerol-serine O-phosphatidyltransferase	[c] : cdpdag + ser-L --> cmp + h + ps	3	Lipid & Cell Wall Metabolism	Rfer_3325	PssA1
KDOPS	2-dehydro-3-deoxy-phosphooctonate aldolase	[c] : ara5p + h2o + pep --> kdo8p + pi	3	Lipid & Cell Wall Metabolism	Rfer_2649	KdsA
UAG2E	UDP-N-acetylglucosamine 2-epimerase	[c] : uacgam <==> uacmam	2	Lipid & Cell Wall Metabolism	Rfer_0663	YvyH2
UAG2EMA	UDP-N-acetyl-D-glucosamine 2-epimerase (Hydrolysis)	[c] : h2o + uacgam <==> acmana + h + udp	2	Lipid & Cell Wall Metabolism	Rfer_0663	YvyH2
UAGCVT	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	[c] : pep + uacgam --> pi + uaccg	3	Lipid & Cell Wall Metabolism	Rfer_2944	MurAA
UAMAGS	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	[c] : atp + glu-D + uama --> adp + h + pi + uamag	2	Lipid & Cell Wall Metabolism	Rfer_3427	MurD
UDPG4E	UDPglucose 4-epimerase	[c] : udpg <==> udpgal	3	Lipid & Cell Wall Metabolism	Rfer_0713	GalE
UDPGD	UDPglucose 6-dehydrogenase	[c] : h2o + (2) nad + udpg <==> (3) h + (2) nadh + udpglcur	3	Lipid & Cell Wall Metabolism	Rfer_0673	Ugd
ACACT10rr	acetyl-CoA C-acyltransferase (2-Methyl-3-acetoacetyl-CoA)	[c] : 2maacoa + coa <==> accoa + ppcoa	3	Lipids	Rfer_3516	YusK
ACACT2r	acetyl-CoA C-acyltransferase (butanoyl-CoA)	[c] : accoa + btcoa <==> 3ohcoa + coa	3	Lipids	Rfer_3516	YusK
ACACT3r	acetyl-CoA C-acyltransferase (hexanoyl-CoA)	[c] : accoa + hxcoa <==> 3oocoa + coa	3	Lipids	Rfer_3516	YusK
ACACT4r	acetyl-CoA C-acyltransferase (octanoyl-CoA)	[c] : accoa + occoa <==> 3odcoa + coa	3	Lipids	Rfer_3516	YusK
ACACT5r	acetyl-CoA C-acyltransferase (decanoyl-CoA)	[c] : accoa + dccoa <==> 3oddcoa + coa	3	Lipids	Rfer_3516	YusK
ACACT6r	acetyl-CoA C-acyltransferase (dodecanoyl-CoA)	[c] : accoa + ddcoa <==> 3otdcoa + coa	3	Lipids	Rfer_3516	YusK
ACACT7r	acetyl-CoA C-acyltransferase (tetradecanoyl-CoA)	[c] : accoa + tdcoa <==> 3ohdcoa + coa	3	Lipids	Rfer_3516	YusK
ACOAD1	acyl-CoA dehydrogenase (butanoyl-CoA)	[c] : b2coa + h + nadh <==> btcoa + nad	2	Lipids	"Rfer_2268, Rfer_3842, Rfer_4070, Rfer_2593, Rfer_3838, Rfer_2592"	"AcdA1, AcdA5, AcdA, AcdA7, AcdA9, AcdA10"
ACOAD19	acyl-CoA dehydrogenase (isobutyryl-CoA)	[c] : (2) ibcoa + o2 --> (2) 2mp2coa + (2) h2o	2	Lipids	Rfer_4207	YngJ
ACOAD2	acyl-CoA dehydrogenase (hexanoyl-CoA)	[c] : h + hx2coa + nadh <==> hxcoa + nad	2	Lipids	"Rfer_2268, Rfer_3842, Rfer_4070, Rfer_2593, Rfer_3838, Rfer_2592"	"AcdA, AcdA10, AcdA5, AcdA9, AcdA7, AcdA1"
ACOAD20	acyl-CoA dehydrogenase (2-methylbutnoyl-CoA)	[c] : (2) 2mbcoa + o2 --> (2) 2mb2coa + (2) h2o	2	Lipids	Rfer_4207	YngJ
ACOAD3	acyl-CoA dehydrogenase (octanoyl-CoA)	[c] : nad + occoa <==> h + nadh + oc2coa	2	Lipids	"Rfer_2268, Rfer_3842, Rfer_4070, Rfer_2593, Rfer_3838, Rfer_2592"	"AcdA7, AcdA, AcdA10, AcdA5, AcdA9, AcdA1"
ACOAD4	acyl-CoA dehydrogenase (decanoyl-CoA)	[c] : dccoa + nad <==> dc2coa + h + nadh	2	Lipids	"Rfer_2268, Rfer_3842, Rfer_4070, Rfer_2593, Rfer_3838, Rfer_2592"	"AcdA9, AcdA1, AcdA7, AcdA5, AcdA10, AcdA"
ACOAD5	acyl-CoA dehydrogenase (dodecanoyl-CoA)	[c] : ddcoa + nad <==> h + nadh + trans-dd2coa	2	Lipids	"Rfer_2268, Rfer_3842, Rfer_4070, Rfer_2593, Rfer_3838, Rfer_2592"	"AcdA, AcdA9, AcdA10, AcdA5, AcdA7, AcdA1"
ACOAD6	acyl-CoA dehydrogenase (tetradecanoyl-CoA)	[c] : nad + tdcoa <==> h + nadh + td2coa	2	Lipids	"Rfer_2268, Rfer_3842, Rfer_4070, Rfer_2593, Rfer_3838, Rfer_2592"	"AcdA1, AcdA9, AcdA, AcdA7, AcdA10, AcdA5"
ACOAD7	acyl-CoA dehydrogenase (hexadecanoyl-CoA)	[c] : nad + pmtcoa <==> h + hdd2coa + nadh	2	Lipids	"Rfer_2268, Rfer_3842, Rfer_4070, Rfer_2593, Rfer_3838, Rfer_2592"	"AcdA5, AcdA, AcdA9, AcdA10, AcdA1, AcdA7"
ECOAH1	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	[c] : 3hbycoa <==> b2coa + h2o	2	Lipids	"Rfer_1007, Rfer_0608, Rfer_1573, Rfer_3831, Rfer_0995, Rfer_2754, Rfer_1890, Rfer_1924, Rfer_1010"	"YngF10, YngF2, YngF5, YngF3, YngF1, YngF8, YngF11, YngF7, YsiB"
ECOAH2	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	[c] : 3hhcoa <==> h2o + hx2coa	2	Lipids	"Rfer_1007, Rfer_0608, Rfer_1573, Rfer_3831, Rfer_0995, Rfer_2754, Rfer_1890, Rfer_1924, Rfer_1010"	"YngF1, YngF7, YsiB, YngF11, YngF2, YngF8, YngF10, YngF3, YngF5"
ECOAH3	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	[c] : 3hocoa <==> h2o + oc2coa	2	Lipids	"Rfer_1007, Rfer_0608, Rfer_1573, Rfer_3831, Rfer_0995, Rfer_2754, Rfer_1890, Rfer_1924, Rfer_1010"	"YngF7, YsiB, YngF10, YngF11, YngF2, YngF8, YngF3, YngF1, YngF5"
ECOAH4	3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)	[c] : 3hdcoa <==> dc2coa + h2o	2	Lipids	"Rfer_1007, Rfer_0608, Rfer_1573, Rfer_3831, Rfer_0995, Rfer_2754, Rfer_1890, Rfer_1924, Rfer_1010"	"YngF2, YngF8, YngF1, YngF7, YngF11, YngF3, YngF10, YngF5, YsiB"
ECOAH5	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	[c] : 3hddcoa <==> h2o + trans-dd2coa	2	Lipids	"Rfer_1007, Rfer_0608, Rfer_1573, Rfer_3831, Rfer_0995, Rfer_2754, Rfer_1890, Rfer_1924, Rfer_1010"	"YngF8, YngF7, YngF11, YngF2, YngF5, YngF3, YngF1, YngF10, YsiB"
ECOAH6	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	[c] : 3htdcoa <==> h2o + td2coa	2	Lipids	"Rfer_1007, Rfer_0608, Rfer_1573, Rfer_3831, Rfer_0995, Rfer_2754, Rfer_1890, Rfer_1924, Rfer_1010"	"YngF2, YngF10, YngF8, YsiB, YngF3, YngF1, YngF11, YngF7, YngF5"
ECOAH7	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	[c] : 3hhdcoa <==> h2o + hdd2coa	2	Lipids	"Rfer_1007, Rfer_0608, Rfer_1573, Rfer_3831, Rfer_0995, Rfer_2754, Rfer_1890, Rfer_1924, Rfer_1010"	"YngF7, YsiB, YngF2, YngF11, YngF8, YngF1, YngF5, YngF10, YngF3"
FACOAL140(ISO)	fatty-acid--CoA ligase (Iso-C14:0)	[c] : atp + coa + fa1 <==> amp + fa1coa + ppi	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284, Rfer_4067"	"YhfL2, YhfL1, YhfL4, YhfL6"
FACOAL150(anteiso)	fatty-acid--CoA ligase (anteiso-C15:0)	[c] : atp + coa + fa4 <==> amp + fa4coa + ppi	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284, Rfer_4067"	"YhfL1, YhfL4, YhfL2, YhfL6"
FACOAL150(ISO)	fatty-acid--CoA ligase (Iso-C15:0)	[c] : atp + coa + fa3 <==> amp + fa3coa + ppi	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284, Rfer_4067"	"YhfL4, YhfL2, YhfL1, YhfL6"
FACOAL160	fatty-acid--CoA ligase (hexadecanoate)	[c] : atp + coa + hdca <==> amp + pmtcoa + ppi	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284, Rfer_4067"	"YhfL6, YhfL4, YhfL2, YhfL1"
FACOAL160(ISO)	fatty-acid--CoA ligase (Iso-C16:0)	[c] : atp + coa + fa6 <==> amp + fa6coa + ppi	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284, Rfer_4067"	"YhfL2, YhfL1, YhfL4, YhfL6"
FACOAL161	fatty-acid--CoA ligase (hexadecenoate)	[c] : atp + coa + hdcea <==> amp + hdcoa + ppi	3	Lipids	Rfer_3752	LcfA
FACOAL161(ISO)	fatty-acid--CoA ligase (Iso-C16:1)	[c] : atp + coa + fa5 <==> amp + fa5coa + ppi	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284, Rfer_4067"	"YhfL2, YhfL4, YhfL1, YhfL6"
FACOAL170(anteiso)	fatty-acid--CoA ligase (anteiso-C17:0)	[c] : atp + coa + fa12 <==> amp + fa12coa + ppi	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284, Rfer_4067"	"YhfL1, YhfL6, YhfL4, YhfL2"
FACOAL170(ISO)	fatty-acid--CoA ligase (Iso-C17:0)	[c] : atp + coa + fa11 <==> amp + fa11coa + ppi	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284, Rfer_4067"	"YhfL6, YhfL4, YhfL1, YhfL2"
FACOAL171(anteiso)	fatty-acid--CoA ligase (anteiso-C17:1)	[c] : atp + coa + fa10 <==> amp + fa10coa + ppi	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284"	"YhfL6, YhfL2, YhfL4"
FACOAL171(ISO)	fatty-acid--CoA ligase (Iso-C17:1)	[c] : atp + coa + fa9 <==> amp + fa9coa + ppi	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284, Rfer_4067"	"YhfL2, YhfL4, YhfL1, YhfL6"
FACOAL180	fatty-acid--CoA ligase (octadecanoate)	[c] : atp + coa + ocdca <==> amp + ppi + strcoa	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284, Rfer_4067"	"YhfL6, YhfL1, YhfL2, YhfL4"
FACOAL181	fatty-acid--CoA ligase (octadecenoate)	[c] : atp + coa + ocdcea <==> amp + odecoa + ppi	3	Lipids	"Rfer_1006, Rfer_0699, Rfer_3284, Rfer_4067"	"YhfL4, YhfL2, YhfL1, YhfL6"
HACD2	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	[c] : 3ohcoa + h + nadh <==> 3hhcoa + nad	3	Lipids	Rfer_3517	YusL
HACD3	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	[c] : 3oocoa + h + nadh <==> 3hocoa + nad	3	Lipids	Rfer_3517	YusL
HACD4	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	[c] : 3odcoa + h + nadh <==> 3hdcoa + nad	3	Lipids	Rfer_3517	YusL
HACD5	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	[c] : 3oddcoa + h + nadh <==> 3hddcoa + nad	3	Lipids	Rfer_3517	YusL
HACD6	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	[c] : 3otdcoa + h + nadh <==> 3htdcoa + nad	3	Lipids	Rfer_3517	YusL
HACD7	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	[c] : 3ohdcoa + h + nadh <==> 3hhdcoa + nad	3	Lipids	Rfer_3517	YusL
HACD8	3-hydroxyacyl-CoA dehydrogenase (2-Methylacetoacetyl-CoA)	[c] : 3hmbcoa + nad <==> 2maacoa + h + nadh	3	Lipids	Rfer_3517	YusL
HACOADr	3-hydroxyacyl-CoA dehydrogenase	[c] : 3hmp + nad --> h + mmalsa-S + nadh	3	Lipids	Rfer_3517	YusL
HMGL	hydroxymethylglutaryl-CoA lyase	[c] : hmgcoa --> acac + accoa	3	Lipids	"Rfer_3824, Rfer_4199"	"YngG, HmgL"
DNASYN_Eco	"DNA replication, E. coli"	[c] : (100) atp + (25) datp + (25) dctp + (25) dgtp + (25) dttp + (100) h2o --> (100) adp + dna_Eco + (100) h + (100) pi + (100) ppi	1	Macromolecule Synthesis		
PLIPSYN_Eco	"Phospholipid synthesis reaction, E. coli"	[c] : (0.057) clpn_EC + (2) h2o + (0.688) pe_EC + (0.193) pg_EC + (0.062) ps_EC --> (0.5) pi + plipid_Eco	1	Macromolecule Synthesis		
PROTSYN_Eco	"Protein synthesis, E. coli"	[c] : (103) alatrna + (59) argtrna + (48) asntrna + (48) asptrna + (18) cystrna + (53) glntrna + (53) glutrna + (53) glytrna + (2000) gtp + (2000) h2o + (19) histrna + (58) iletrna + (90) leutrna + (69) lystrna + (31) mettrna + (37) phetrna + (44) protrna + (43) sertrna + (51) thrtrna + (11) trptrna + (28) tyrtrna + (85) valtrna --> (2000) gdp + (3001) h + (2000) pi + protein_Eco + (103) trnaala + (59) trnaarg + (48) trnaasn + (48) trnaasp + (18) trnacys + (53) trnagln + (53) trnaglu + (53) trnagly + (19) trnahis + (58) trnaile + (90) trnaleu + (69) trnalys + (31) trnamet + (37) trnaphe + (44) trnapro + (43) trnaser + (51) trnathr + (11) trnatrp + (28) trnatyr + (85) trnaval	1	Macromolecule Synthesis		
RNASYN_Eco	"RNA replication, E. coli"	[c] : (126) atp + (20) ctp + (32) gtp + (100) h2o + (22) utp --> (100) adp + (100) h + (100) pi + (100) ppi + rna_Eco	1	Macromolecule Synthesis		
HEMEOS	Heme O synthase	[c] : frdp + h2o + pheme --> h + hemeO + ppi	2	Membrane bioenergetics	Rfer_1689	CtaO
ACACT1r	acetyl-CoA C-acetyltransferase	[c] : (2) accoa <==> aacoa + coa	3	Membrane Lipid Metabolism	"Rfer_2561, Rfer_3839"	"AtoBec6, AtoBec1"
ACCOAC	acetyl-CoA carboxylase	[c] : accoa + atp + hco3 --> adp + h + malcoa + pi	3	Membrane Lipid Metabolism	Rfer_1351+Rfer_3353+Rfer_1786+Rfer_3352	Acc
ACOAD8	acyl-CoA dehydrogenase (isovaleryl-CoA)	[c] : ivcoa + nad --> 3mb2coa + h + nadh	3	Membrane Lipid Metabolism	Rfer_0523	Ivd
ACOATA	Acetyl-CoA ACP transacylase	[c] : ACP + accoa <==> acACP + coa	3	Membrane Lipid Metabolism	Rfer_1730	FabHec
C120SN	Fatty acid biosynthesis (n-C12:0)	[c] : actACP + (14) h + (4) malACP + (10) nadph --> (4) ACP + (4) co2 + ddcaACP + (5) h2o + (10) nadp	3	Membrane Lipid Metabolism	"Rfer_2127, Rfer_1999, Rfer_1732, Rfer_1734"	FabZ+FabGec+FabI+FabF
C140SN	Fatty acid biosynthesis (n-C14:0)	[c] : actACP + (17) h + (5) malACP + (12) nadph --> (5) ACP + (5) co2 + (6) h2o + myrsACP + (12) nadp	3	Membrane Lipid Metabolism	"Rfer_2127, Rfer_1999, Rfer_1732, Rfer_1734"	FabZ+FabGec+FabI+FabF
C141SN	Fatty acid biosynthesis (n-C14:1)	[c] : actACP + (16) h + (5) malACP + (11) nadph --> (5) ACP + (5) co2 + (6) h2o + (11) nadp + tdeACP	1	Membrane Lipid Metabolism	"Rfer_1732, Rfer_1734"	FabGec+FabF
C160SN	Fatty acid biosynthesis (n-C16:0)	[c] : actACP + (20) h + (6) malACP + (14) nadph --> (6) ACP + (6) co2 + (7) h2o + (14) nadp + palmACP	3	Membrane Lipid Metabolism	"Rfer_2127, Rfer_1999, Rfer_1732, Rfer_1734"	FabZ+FabGec+FabI+FabF
C161SN	Fatty acid biosynthesis (n-C16:1)	[c] : actACP + (19) h + (6) malACP + (13) nadph --> (6) ACP + (6) co2 + (7) h2o + hdeACP + (13) nadp	1	Membrane Lipid Metabolism	"Rfer_1732, Rfer_1734"	FabGec+FabF
C181SN	Fatty acid biosynthesis (n-C18:1)	[c] : actACP + (22) h + (7) malACP + (15) nadph --> (7) ACP + (7) co2 + (8) h2o + (15) nadp + octeACP	1	Membrane Lipid Metabolism	"Rfer_1732, Rfer_1734"	FabGec+FabF
CLPNS_EC	Cardiolipin Synthase (E.coli)	[c] : (0.04) pg_EC <==> (0.02) clpn_EC + glyc	3	Membrane Lipid Metabolism	Rfer_0078	Cls
DASYN_EC	CDP-Diacylglycerol synthetase (Ecoli)	[c] : ctp + h + (0.02) pa_EC <==> (0.02) cdpdag_EC + ppi	2	Membrane Lipid Metabolism	Rfer_1993	CdsA
KAS15	b-ketoacyl synthase	[c] : accoa + h + malACP --> actACP + co2 + coa	3	Membrane Lipid Metabolism	Rfer_1730	FabHec
KAS16	3-hydroxy-myristoyl-ACP synthesis	[c] : ddcaACP + (2) h + malACP + nadph --> 3htdACP + ACP + co2 + nadp	1	Membrane Lipid Metabolism		
MCOATA	Malonyl-CoA-ACP transacylase	[c] : ACP + malcoa <==> coa + malACP	3	Membrane Lipid Metabolism	Rfer_1731	FabD
PASYN_EC	Phosphatidic acid synthase (Ecoli)	[c] : glyc3p + (0.322) hdeACP + (0.208) myrsACP + (0.373) octeACP + (0.982) palmACP + (0.115) tdeACP --> (2) ACP + (0.02) pa_EC	1	Membrane Lipid Metabolism		
PGPP_EC	Phosphatidylglycerol phosphate phosphatase (Ecoli)	[c] : h2o + (0.02) pgp_EC --> (0.02) pg_EC + pi	2	Membrane Lipid Metabolism	Rfer_0077	PgpAec
